ICD10Code,icd10_count_acu_all,icd10_patient_count_acu_all,icd10_count_acu_24,icd10_patient_count_acu_24,icd10_count_all_all,icd10_patient_count_all_all,icd10_count_all_24,icd10_patient_count_all_24,icd10_count_acu_all_%,icd10_patient_count_acu_all_%,icd10_count_acu_24_%,icd10_patient_count_acu_24_%,icd10_count_all_all_%,icd10_patient_count_all_all_%,icd10_count_all_24_%,icd10_patient_count_all_24_%
A41.1,0.0,0.0,0.0,0.0,574.0,225.0,185.0,77.0,0.0,0.0,0.0,0.0,3.131098004283953e-06,6.8190290308795945e-06,3.39491407738558e-06,5.4126000408405275e-06
A41.2,0.0,0.0,0.0,0.0,330.0,188.0,143.0,63.0,0.0,0.0,0.0,0.0,1.8001086087346768e-06,5.697677590246061e-06,2.6241768273845294e-06,4.428490942505887e-06
A41.50,0.0,0.0,0.0,0.0,1225.0,588.0,374.0,195.0,0.0,0.0,0.0,0.0,6.682221350605997e-06,1.782039586736534e-05,6.8632317023903075e-06,1.3707233869661077e-05
A41.51,0.0,0.0,0.0,0.0,3051.0,1331.0,1125.0,475.0,0.0,0.0,0.0,0.0,1.6642822318937876e-05,4.03383450671144e-05,2.0644747767885285e-05,3.3389415836353905e-05
A41.52,0.0,0.0,0.0,0.0,1116.0,420.0,482.0,183.0,0.0,0.0,0.0,0.0,6.087640022266362e-06,1.2728854190975242e-05,8.845127488107295e-06,1.2863711785374241e-05
A41.53,0.0,0.0,0.0,0.0,0.0,0.0,104.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9084922380978395e-06,2.952327295003924e-06
A41.59,0.0,0.0,0.0,0.0,1435.0,778.0,612.0,337.0,0.0,0.0,0.0,0.0,7.827745010709882e-06,2.3578687048996996e-05,1.1230742785729594e-05,2.3688911867055295e-05
A41.81,0.0,0.0,0.0,0.0,1011.0,446.0,371.0,164.0,0.0,0.0,0.0,0.0,5.514878192214419e-06,1.3516830878987995e-05,6.808179041675947e-06,1.1528135151920085e-05
A41.89,0.0,0.0,0.0,0.0,3743.0,2193.0,1250.0,801.0,0.0,0.0,0.0,0.0,2.0417595522708774e-05,6.646280295430644e-05,2.2938608630983648e-05,5.630509912614627e-05
A41.9,0.0,0.0,0.0,0.0,28161.0,9458.0,9670.0,3635.0,0.0,0.0,0.0,0.0,0.00015361472281993102,0.00028664167366248536,0.0001774530763692895,0.00025551689803188725
A43.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.477369732146234e-06,9.841090983346413e-07
A46.,0.0,0.0,0.0,0.0,464.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5310618013723943e-06,8.031300858591522e-06,0.0,0.0
A48.0,0.0,0.0,0.0,0.0,1014.0,184.0,302.0,59.0,0.0,0.0,0.0,0.0,5.531242815930188e-06,5.576450407474868e-06,5.5419678452456495e-06,4.147316914410274e-06
A48.1,0.0,0.0,0.0,0.0,390.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1274010830500727e-06,3.4246679132861963e-06,0.0,0.0
A48.8,0.0,0.0,0.0,0.0,890.0,371.0,154.0,93.0,0.0,0.0,0.0,0.0,4.8548383690117046e-06,1.124382120202813e-05,2.8260365833371856e-06,6.537296153222975e-06
A49.01,0.0,0.0,0.0,0.0,1615.0,677.0,388.0,191.0,0.0,0.0,0.0,0.0,8.80962243365607e-06,2.051770068402438e-05,7.120144119057324e-06,1.3426059841565464e-05
A49.02,0.0,0.0,0.0,0.0,3327.0,1351.0,890.0,389.0,0.0,0.0,0.0,0.0,1.8148367700788698e-05,4.0944480980970363e-05,1.633228934526036e-05,2.734417423229825e-05
A49.1,0.0,0.0,0.0,0.0,298.0,160.0,115.0,38.0,0.0,0.0,0.0,0.0,1.6255526224331324e-06,4.849087310847711e-06,2.1103519940504957e-06,2.6711532669083124e-06
A49.2,0.0,0.0,0.0,0.0,758.0,680.0,209.0,188.0,0.0,0.0,0.0,0.0,4.1347949255178335e-06,2.0608621071102773e-05,3.835335363100466e-06,1.3215179320493756e-05
A49.3,0.0,0.0,0.0,0.0,198.0,123.0,114.0,71.0,0.0,0.0,0.0,0.0,1.0800651652408062e-06,3.727735870214178e-06,2.0920011071457087e-06,4.99083899869711e-06
A49.8,0.0,0.0,0.0,0.0,914.0,434.0,355.0,131.0,0.0,0.0,0.0,0.0,4.985755358737862e-06,1.3153149330674417e-05,6.514564851199356e-06,9.208449420131287e-06
A49.9,0.0,0.0,0.0,0.0,2850.0,1787.0,751.0,480.0,0.0,0.0,0.0,0.0,1.55463925299813e-05,5.4158243903030374e-05,1.3781516065494977e-05,3.374088337147342e-05
A51.0,0.0,0.0,0.0,0.0,295.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6091879987173626e-06,4.03080382714216e-06,0.0,0.0
A51.31,0.0,0.0,0.0,0.0,2068.0,848.0,401.0,223.0,0.0,0.0,0.0,0.0,1.1280680614737308e-05,2.570016274749287e-05,7.358705648819554e-06,1.567545206633036e-05
A51.5,0.0,0.0,0.0,0.0,485.0,186.0,156.0,68.0,0.0,0.0,0.0,0.0,2.6456141673827826e-06,5.637063998860464e-06,2.8627383571467593e-06,4.779958477625401e-06
A51.9,0.0,0.0,0.0,0.0,479.0,204.0,140.0,58.0,0.0,0.0,0.0,0.0,2.612884919951243e-06,6.182586321330832e-06,2.5691241666701685e-06,4.0770234073863715e-06
A52.16,0.0,0.0,0.0,0.0,2660.0,295.0,771.0,120.0,0.0,0.0,0.0,0.0,1.450996636131588e-05,8.940504729375468e-06,1.4148533803590715e-05,8.435220842868355e-06
A52.3,0.0,0.0,0.0,0.0,792.0,135.0,186.0,56.0,0.0,0.0,0.0,0.0,4.320260660963225e-06,4.091417418527756e-06,3.413264964290367e-06,3.936436393338565e-06
A52.8,0.0,0.0,0.0,0.0,1801.0,526.0,540.0,211.0,0.0,0.0,0.0,0.0,9.824229104033797e-06,1.594137453441185e-05,9.909478928584936e-06,1.4831929982043523e-05
A52.9,0.0,0.0,0.0,0.0,698.0,226.0,198.0,75.0,0.0,0.0,0.0,0.0,3.8075024512024376e-06,6.849335826572393e-06,3.63347560714781e-06,5.272013026792721e-06
A53.0,0.0,0.0,0.0,0.0,1289.0,351.0,447.0,161.0,0.0,0.0,0.0,0.0,7.0313333232090865e-06,1.0637685288172166e-05,8.202846446439753e-06,1.1317254630848375e-05
A53.9,0.0,0.0,0.0,0.0,4309.0,1179.0,1446.0,506.0,0.0,0.0,0.0,0.0,2.350505453041734e-05,3.573171212180907e-05,2.6535382464321884e-05,3.55685145540949e-05
A54.01,0.0,0.0,0.0,0.0,197.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0746102906688828e-06,4.212644601298949e-06,0.0,0.0
A54.9,0.0,0.0,0.0,0.0,451.0,286.0,120.0,83.0,0.0,0.0,0.0,0.0,2.4601484319373914e-06,8.667743568140284e-06,2.2021064285744303e-06,5.834361082983945e-06
A56.00,0.0,0.0,0.0,0.0,172.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,9.382384263708013e-07,3.6671222788285817e-06,0.0,0.0
A56.01,0.0,0.0,0.0,0.0,290.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5819136258577462e-06,6.06135913855964e-06,0.0,0.0
A56.02,0.0,0.0,0.0,0.0,151.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,8.236860603604127e-07,3.3640543219005996e-06,0.0,0.0
A56.19,0.0,0.0,0.0,0.0,154.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,8.400506840761825e-07,3.3337475262078015e-06,0.0,0.0
A56.2,0.0,0.0,0.0,0.0,305.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6637367444365952e-06,7.031176600729181e-06,0.0,0.0
A56.8,0.0,0.0,0.0,0.0,273.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4891807581350509e-06,6.637188256722805e-06,0.0,0.0
A59.01,0.0,0.0,0.0,0.0,709.0,449.0,145.0,98.0,0.0,0.0,0.0,0.0,3.8675060714935935e-06,1.3607751266066391e-05,2.660878601194103e-06,6.88876368834249e-06
A59.03,0.0,0.0,0.0,0.0,182.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,9.92787172090034e-07,4.36417857976294e-06,0.0,0.0
A59.9,0.0,0.0,0.0,0.0,365.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,1.991029218751991e-06,8.455595998290698e-06,0.0,0.0
A60.00,0.0,0.0,0.0,0.0,4278.0,1829.0,1473.0,798.0,0.0,0.0,0.0,0.0,2.3335953418687718e-05,5.54311293221279e-05,2.703085641075113e-05,5.6094218605074555e-05
A60.01,0.0,0.0,0.0,0.0,1067.0,490.0,236.0,147.0,0.0,0.0,0.0,0.0,5.820351168242122e-06,1.4850329889471116e-05,4.330809309529713e-06,1.0333145532513735e-05
A60.02,0.0,0.0,0.0,0.0,7408.0,2349.0,1594.0,890.0,0.0,0.0,0.0,0.0,4.040971082880753e-05,7.119066308238296e-05,2.925131372623035e-05,6.256122125127364e-05
A60.04,0.0,0.0,0.0,0.0,1973.0,859.0,454.0,290.0,0.0,0.0,0.0,0.0,1.0762467530404598e-05,2.603353750011365e-05,8.331302654773261e-06,2.038511703693186e-05
A60.09,0.0,0.0,0.0,0.0,713.0,395.0,140.0,91.0,0.0,0.0,0.0,0.0,3.889325569781286e-06,1.1971184298655287e-05,2.5691241666701685e-06,6.396709139175169e-06
A60.1,0.0,0.0,0.0,0.0,474.0,210.0,150.0,74.0,0.0,0.0,0.0,0.0,2.5856105470916266e-06,6.364427095487621e-06,2.7526330357180377e-06,5.201719519768819e-06
A60.9,0.0,0.0,0.0,0.0,4264.0,1673.0,1303.0,731.0,0.0,0.0,0.0,0.0,2.3259585174680795e-05,5.070326919405138e-05,2.3911205636937354e-05,5.138455363447306e-05
A63.0,0.0,0.0,0.0,0.0,11803.0,3711.0,2681.0,1199.0,0.0,0.0,0.0,0.0,6.438388457241027e-05,0.0001124685188159741,4.919872779173373e-05,8.428191492165965e-05
A63.8,0.0,0.0,0.0,0.0,773.0,630.0,212.0,168.0,0.0,0.0,0.0,0.0,4.216618044096682e-06,1.9093281286462864e-05,3.8903880238148266e-06,1.1809309180015696e-05
A64.,0.0,0.0,0.0,0.0,4675.0,3206.0,861.0,644.0,0.0,0.0,0.0,0.0,2.5501538623741256e-05,9.716358699111102e-05,1.5800113625021536e-05,4.52690185233935e-05
A66.2,0.0,0.0,0.0,0.0,1741.0,1347.0,409.0,320.0,0.0,0.0,0.0,0.0,9.4969366297184e-06,4.082325379819917e-05,7.50551274405785e-06,2.2493922247648946e-05
A66.3,0.0,0.0,0.0,0.0,408.0,192.0,136.0,58.0,0.0,0.0,0.0,0.0,2.2255888253446915e-06,5.818904773017254e-06,2.495720619051021e-06,4.0770234073863715e-06
A68.9,0.0,0.0,0.0,0.0,198.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0800651652408062e-06,4.182337805606151e-06,0.0,0.0
A69.20,0.0,0.0,0.0,0.0,4840.0,1873.0,1514.0,668.0,0.0,0.0,0.0,0.0,2.6401592928108593e-05,5.676462833261102e-05,2.7783242773847397e-05,4.695606269196717e-05
A69.23,0.0,0.0,0.0,0.0,619.0,149.0,199.0,62.0,0.0,0.0,0.0,0.0,3.3765673600204996e-06,4.515712558226931e-06,3.651826494052597e-06,4.358197435481983e-06
A69.29,0.0,0.0,0.0,0.0,453.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4710581810812383e-06,8.425289202597898e-06,0.0,0.0
A74.89,0.0,0.0,0.0,0.0,117.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,6.382203249150218e-07,3.060986364972618e-06,0.0,0.0
A74.9,0.0,0.0,0.0,0.0,856.0,564.0,191.0,128.0,0.0,0.0,0.0,0.0,4.669372633566313e-06,1.7093032770738184e-05,3.5050193988143017e-06,8.997568899059579e-06
A78.,0.0,0.0,0.0,0.0,439.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3946899370743127e-06,5.2127688591612896e-06,0.0,0.0
A88.1,0.0,0.0,0.0,0.0,3504.0,1775.0,1179.0,533.0,0.0,0.0,0.0,0.0,1.9113880500019113e-05,5.3794562354716796e-05,2.1635695660743778e-05,3.7466439243740274e-05
B00.0,0.0,0.0,0.0,0.0,753.0,390.0,183.0,105.0,0.0,0.0,0.0,0.0,4.1075205526582175e-06,1.1819650320191296e-05,3.3582123035760063e-06,7.38081823750981e-06
B00.1,0.0,0.0,0.0,0.0,6444.0,3418.0,2266.0,1424.0,0.0,0.0,0.0,0.0,3.5151211741473506e-05,0.00010358862767798424,4.1583109726247157e-05,0.00010009795400203781
B00.2,0.0,0.0,0.0,0.0,1463.0,821.0,470.0,288.0,0.0,0.0,0.0,0.0,7.980481498723733e-06,2.488187926378732e-05,8.624916845249851e-06,2.024453002288405e-05
B00.4,0.0,0.0,0.0,0.0,0.0,0.0,226.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.147300440481844e-06,1.1246961123824473e-06
B00.50,0.0,0.0,0.0,0.0,224.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,1.221891904110811e-06,3.2731339348222053e-06,0.0,0.0
B00.51,0.0,0.0,0.0,0.0,445.0,142.0,101.0,45.0,0.0,0.0,0.0,0.0,2.4274191845058523e-06,4.303564988377344e-06,1.8534395773834787e-06,3.163207816075633e-06
B00.52,0.0,0.0,0.0,0.0,4247.0,760.0,1142.0,332.0,0.0,0.0,0.0,0.0,2.3166852306958098e-05,2.303316472652663e-05,2.095671284526666e-05,2.333744433193578e-05
B00.59,0.0,0.0,0.0,0.0,558.0,284.0,147.0,98.0,0.0,0.0,0.0,0.0,3.043820011133181e-06,8.607129976754688e-06,2.6975803750036773e-06,6.88876368834249e-06
B00.82,0.0,0.0,0.0,0.0,713.0,299.0,158.0,89.0,0.0,0.0,0.0,0.0,3.889325569781286e-06,9.06173191214666e-06,2.899440130956333e-06,6.256122125127363e-06
B00.89,0.0,0.0,0.0,0.0,2973.0,1708.0,765.0,557.0,0.0,0.0,0.0,0.0,1.621734210232786e-05,5.176400704329932e-05,1.4038428482161993e-05,3.9153483412313945e-05
B00.9,0.0,0.0,0.0,0.0,22855.0,8959.0,6616.0,3679.0,0.0,0.0,0.0,0.0,0.00012467115834130618,0.000271518582611779,0.00012140946776207025,0.00025860981234093896
B01.89,0.0,0.0,0.0,0.0,157.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,8.564153077919523e-07,3.6368154831357836e-06,0.0,0.0
B01.9,0.0,0.0,0.0,0.0,412.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2474083236323843e-06,7.758539697356339e-06,0.0,0.0
B02.22,0.0,0.0,0.0,0.0,2974.0,656.0,856.0,272.0,0.0,0.0,0.0,0.0,1.6222796976899784e-05,1.9881257974475618e-05,1.5708359190497603e-05,1.9119833910501603e-05
B02.23,0.0,0.0,0.0,0.0,1396.0,372.0,502.0,141.0,0.0,0.0,0.0,0.0,7.615004902404875e-06,1.1274127997720928e-05,9.212145226203033e-06,9.911384490370317e-06
B02.29,417.0,105.0,0.0,0.0,3664.0,1023.0,1328.0,449.0,8.645818150454237e-05,7.550203460006573e-05,0.0,0.0,1.9986660431526837e-05,3.100385199373256e-05,2.4369977809557027e-05,3.156178465373243e-05
B02.30,0.0,0.0,0.0,0.0,804.0,293.0,193.0,90.0,0.0,0.0,0.0,0.0,4.385719155826304e-06,8.879891137989871e-06,3.5417211726238754e-06,6.326415632151266e-06
B02.33,0.0,0.0,0.0,0.0,494.0,183.0,148.0,54.0,0.0,0.0,0.0,0.0,2.694708038530092e-06,5.54614361178207e-06,2.715931261908464e-06,3.7958493792907595e-06
B02.39,0.0,0.0,0.0,0.0,2255.0,891.0,480.0,237.0,0.0,0.0,0.0,0.0,1.2300742159686958e-05,2.700335496228319e-05,8.808425714297721e-06,1.6659561164665e-05
B02.7,0.0,0.0,0.0,0.0,303.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6528269952927486e-06,3.5155883003645907e-06,0.0,0.0
B02.8,0.0,0.0,0.0,0.0,2161.0,1088.0,458.0,280.0,0.0,0.0,0.0,0.0,1.1787983949926171e-05,3.2973793713764436e-05,8.40470620239241e-06,1.9682181966692828e-05
B02.9,0.0,0.0,0.0,0.0,13262.0,7465.0,3098.0,1938.0,0.0,0.0,0.0,0.0,7.234254657284632e-05,0.00022624022984673854,5.685104763102987e-05,0.00013622881661232392
B07.0,0.0,0.0,0.0,0.0,16810.0,5722.0,4006.0,1734.0,0.0,0.0,0.0,0.0,9.169644155403006e-05,0.00017341548495419128,7.35136529405764e-05,0.00012188894117944773
B07.8,0.0,0.0,0.0,0.0,13664.0,7721.0,2652.0,1870.0,0.0,0.0,0.0,0.0,7.453540615075947e-05,0.00023399876954409486,4.866655207149491e-05,0.00013144885813469852
B07.9,0.0,0.0,0.0,0.0,21336.0,10960.0,5846.0,3534.0,0.0,0.0,0.0,0.0,0.00011638520386655475,0.0003321624807930682,0.00010727928484538433,0.00024841725382247304
B08.1,0.0,0.0,0.0,0.0,569.0,278.0,127.0,73.0,0.0,0.0,0.0,0.0,3.1038236314243365e-06,8.425289202597898e-06,2.3305626369079386e-06,5.131426012744916e-06
B08.8,0.0,0.0,0.0,0.0,458.0,349.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4983325539408547e-06,1.057707169678657e-05,0.0,0.0
B09.,0.0,0.0,0.0,0.0,1117.0,823.0,210.0,168.0,0.0,0.0,0.0,0.0,6.093094896838285e-06,2.4942492855172915e-05,3.853686250005253e-06,1.1809309180015696e-05
B10.89,0.0,0.0,0.0,0.0,1629.0,831.0,322.0,220.0,0.0,0.0,0.0,0.0,8.885990677662996e-06,2.51849472207153e-05,5.908985583341388e-06,1.546457154525865e-05
B15.9,0.0,0.0,0.0,0.0,739.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,4.031152308651291e-06,7.6070057188923475e-06,0.0,0.0
B17.10,0.0,0.0,0.0,0.0,796.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3420801592509174e-06,7.697926105970741e-06,0.0,0.0
B17.9,0.0,0.0,0.0,0.0,434.0,250.0,109.0,58.0,0.0,0.0,0.0,0.0,2.3674155642146963e-06,7.576698923199549e-06,2.000246672621774e-06,4.0770234073863715e-06
B18.1,0.0,0.0,0.0,0.0,10161.0,1006.0,2772.0,535.0,0.0,0.0,0.0,0.0,5.542698052531228e-05,3.0488636466954986e-05,5.086865850006934e-05,3.760702625778808e-05
B18.2,217.0,131.0,0.0,0.0,89548.0,7318.0,10382.0,2874.0,4.4991427785337396e-05,9.419777650103438e-05,0.0,0.0,0.0004884731081665843,0.0002217851308798972,0.0001905189078454978,0.0002020235391866971
B18.8,0.0,0.0,0.0,0.0,448.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,2.443783808221622e-06,4.1217242142205545e-06,0.0,0.0
B18.9,0.0,0.0,0.0,0.0,988.0,379.0,157.0,87.0,0.0,0.0,0.0,0.0,5.389416077060184e-06,1.1486275567570517e-05,2.8810892440515464e-06,6.115535111079557e-06
B19.10,0.0,0.0,0.0,0.0,7150.0,1445.0,1661.0,565.0,0.0,0.0,0.0,0.0,3.9002353189251334e-05,4.3793319776093394e-05,3.0480823148851073e-05,3.9715831468505167e-05
B19.20,0.0,0.0,0.0,0.0,19814.0,4706.0,3576.0,1457.0,0.0,0.0,0.0,0.0,0.00010808288476808753,0.0001426237805303083,6.562277157151802e-05,0.0001024176397338266
B19.9,0.0,0.0,0.0,0.0,528.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,2.880173773975483e-06,8.213141632748311e-06,0.0,0.0
B20.,0.0,0.0,0.0,0.0,78255.0,2024.0,17910.0,1626.0,0.0,0.0,0.0,0.0,0.000426871209625855,6.134095448222354e-05,0.0003286643844647337,0.00011429724242086621
B25.9,0.0,0.0,0.0,0.0,553.0,112.0,178.0,48.0,0.0,0.0,0.0,0.0,3.0165456382735645e-06,3.3943611175933978e-06,3.2664578690520717e-06,3.3740883371473418e-06
B27.90,0.0,0.0,0.0,0.0,314.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7128306155839046e-06,5.606757203167666e-06,0.0,0.0
B30.1,0.0,0.0,0.0,0.0,166.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,9.055091789392617e-07,4.152031009913353e-06,0.0,0.0
B30.8,0.0,0.0,0.0,0.0,1400.0,1115.0,241.0,208.0,0.0,0.0,0.0,0.0,7.636824400692568e-06,3.379207719746999e-05,4.422563744053647e-06,1.4621049460971815e-05
B30.9,0.0,0.0,0.0,0.0,1744.0,1389.0,331.0,277.0,0.0,0.0,0.0,0.0,9.51330125343417e-06,4.209613921729669e-05,6.07414356548447e-06,1.947130144562112e-05
