ICD10Code,trad_icd_count,BFA_icd_count,trad_%,BFA_%
F14.982,2,0,8.261757157404401e-12,0.0
E11.51,7,6,2.8916150050915402e-11,5.4904077671817586e-11
S00.411A,1,0,4.1308785787022006e-12,0.0
E28.2,37,4,1.528425074119814e-10,3.660271844787839e-11
R29.898,37,43,1.528425074119814e-10,3.934792233146927e-10
R35.0,41,4,1.693660217267902e-10,3.660271844787839e-11
R61.,95,0,3.92433464976709e-10,0.0
T21.34XS,0,1,0.0,9.150679611969598e-12
Z12.39,1,12,4.1308785787022006e-12,1.0980815534363517e-10
Z12.4,12,27,4.9570542944426407e-11,2.4706834952317913e-10
Z68.43,2,0,8.261757157404401e-12,0.0
S22.31XA,2,5,8.261757157404401e-12,4.5753398059847985e-11
G44.029,68,39,2.808997433517496e-10,3.568765048668143e-10
G44.211,43,11,1.7762777888419461e-10,1.0065747573166556e-10
G50.9,10,8,4.1308785787022e-11,7.320543689575678e-11
G56.90,5,1,2.0654392893511e-11,9.150679611969598e-12
G57.92,28,2,1.1566460020366161e-10,1.8301359223939195e-11
G58.9,23,5,9.501020731015061e-11,4.5753398059847985e-11
G71.3,127,0,5.246215794951794e-10,0.0
G89.12,9,6,3.7177907208319803e-11,5.4904077671817586e-11
H42.,0,1,0.0,9.150679611969598e-12
H90.2,0,2,0.0,1.8301359223939195e-11
H90.5,6,6,2.4785271472213203e-11,5.4904077671817586e-11
H93.231,1,0,4.1308785787022006e-12,0.0
I25.110,4,4,1.6523514314808802e-11,3.660271844787839e-11
I70.293,3,0,1.2392635736106602e-11,0.0
I72.9,2,1,8.261757157404401e-12,9.150679611969598e-12
J30.81,3,1,1.2392635736106602e-11,9.150679611969598e-12
M12.39,2,4,8.261757157404401e-12,3.660271844787839e-11
M15.1,0,1,0.0,9.150679611969598e-12
M26.69,91,30,3.7590995066190024e-10,2.7452038835908793e-10
M63.811,0,1,0.0,9.150679611969598e-12
M79.81,1,4,4.1308785787022006e-12,3.660271844787839e-11
M84.371S,0,1,0.0,9.150679611969598e-12
N39.43,2,1,8.261757157404401e-12,9.150679611969598e-12
N81.84,0,1,0.0,9.150679611969598e-12
R22.32,6,2,2.4785271472213203e-11,1.8301359223939195e-11
R49.9,1,0,4.1308785787022006e-12,0.0
R92.8,4,1,1.6523514314808802e-11,9.150679611969598e-12
S83.211D,0,3,0.0,2.7452038835908793e-11
S98.921S,0,1,0.0,9.150679611969598e-12
W34.00XA,0,1,0.0,9.150679611969598e-12
Z00.129,1,1,4.1308785787022006e-12,9.150679611969598e-12
Z89.611,54,77,2.230674432499188e-10,7.04602330121659e-10
F19.21,5,4,2.0654392893511e-11,3.660271844787839e-11
S22.41XD,1,4,4.1308785787022006e-12,3.660271844787839e-11
S51.801A,1,1,4.1308785787022006e-12,9.150679611969598e-12
G44.201,108,29,4.461348864998376e-10,2.653697087471183e-10
H54.8,43,14,1.7762777888419461e-10,1.2810951456757437e-10
I69.322,28,2,1.1566460020366161e-10,1.8301359223939195e-11
M13.80,95,57,3.92433464976709e-10,5.21588737882267e-10
G47.63,79,12,3.2633940771747383e-10,1.0980815534363517e-10
Z87.898,1,10,4.1308785787022006e-12,9.150679611969597e-11
K74.60,13,21,5.3701421523128606e-11,1.9216427185136153e-10
M65.332,54,10,2.230674432499188e-10,9.150679611969597e-11
M86.471,0,2,0.0,1.8301359223939195e-11
M86.9,5,33,2.0654392893511e-11,3.019724271949967e-10
R22.1,12,10,4.9570542944426407e-11,9.150679611969597e-11
S33.5XXS,35,30,1.4458075025457702e-10,2.7452038835908793e-10
S43.402A,0,2,0.0,1.8301359223939195e-11
G57.50,6,0,2.4785271472213203e-11,0.0
M48.8X6,12,6,4.9570542944426407e-11,5.4904077671817586e-11
M50.91,44,19,1.817586574628968e-10,1.7386291262742234e-10
Z90.710,6,0,2.4785271472213203e-11,0.0
Z95.2,2,1,8.261757157404401e-12,9.150679611969598e-12
Z96.611,9,8,3.7177907208319803e-11,7.320543689575678e-11
M75.111,116,43,4.791819151294553e-10,3.934792233146927e-10
M99.51,183,56,7.559507799025026e-10,5.124380582702975e-10
N39.498,34,0,1.404498716758748e-10,0.0
Q85.03,27,12,1.115337216249594e-10,1.0980815534363517e-10
Q89.8,7,0,2.8916150050915402e-11,0.0
R10.13,66,19,2.726379861943452e-10,1.7386291262742234e-10
R23.2,311,1,1.2847032379763844e-09,9.150679611969598e-12
R29.91,43,17,1.7762777888419461e-10,1.5556155340348316e-10
R39.15,136,0,5.617994867034992e-10,0.0
G25.2,45,25,1.8588953604159902e-10,2.2876699029923994e-10
B18.2,19,10,7.848669299534181e-11,9.150679611969597e-11
E87.5,4,0,1.6523514314808802e-11,0.0
K80.20,3,4,1.2392635736106602e-11,3.660271844787839e-11
L20.82,45,0,1.8588953604159902e-10,0.0
L50.5,5,0,2.0654392893511e-11,0.0
L57.0,21,26,8.674845015274621e-11,2.379176699112095e-10
L82.0,1,3,4.1308785787022006e-12,2.7452038835908793e-11
M02.9,15,1,6.1963178680533e-11,9.150679611969598e-12
M19.179,10,6,4.1308785787022e-11,5.4904077671817586e-11
M41.54,11,0,4.54396643657242e-11,0.0
M48.10,80,74,3.30470286296176e-10,6.771502912857501e-10
M99.31,18,2,7.435581441663961e-11,1.8301359223939195e-11
N93.9,12,15,4.9570542944426407e-11,1.3726019417954397e-10
R07.81,38,35,1.5697338599068362e-10,3.202737864189359e-10
J18.9,5,11,2.0654392893511e-11,1.0065747573166556e-10
J84.10,22,25,9.08793287314484e-11,2.2876699029923994e-10
J84.9,26,4,1.0740284304625721e-10,3.660271844787839e-11
K12.0,0,1,0.0,9.150679611969598e-12
K20.0,18,4,7.435581441663961e-11,3.660271844787839e-11
K45.8,0,2,0.0,1.8301359223939195e-11
K70.9,13,2,5.3701421523128606e-11,1.8301359223939195e-11
L40.8,22,3,9.08793287314484e-11,2.7452038835908793e-11
L89.310,1,0,4.1308785787022006e-12,0.0
M13.161,2,4,8.261757157404401e-12,3.660271844787839e-11
M14.671,14,23,5.7832300101830805e-11,2.1046563107530072e-10
M19.222,0,1,0.0,9.150679611969598e-12
M1A.9XX0,12,28,4.9570542944426407e-11,2.5621902913514875e-10
M23.612,6,6,2.4785271472213203e-11,5.4904077671817586e-11
M25.361,2,2,8.261757157404401e-12,1.8301359223939195e-11
M65.322,9,2,3.7177907208319803e-11,1.8301359223939195e-11
M67.432,1,1,4.1308785787022006e-12,9.150679611969598e-12
M67.90,0,2,0.0,1.8301359223939195e-11
M67.921,1,1,4.1308785787022006e-12,9.150679611969598e-12
M75.100,17,21,7.02249358379374e-11,1.9216427185136153e-10
M75.22,45,18,1.8588953604159902e-10,1.6471223301545275e-10
M77.42,27,27,1.115337216249594e-10,2.4706834952317913e-10
M94.262,10,19,4.1308785787022e-11,1.7386291262742234e-10
N39.46,63,3,2.6024535045823864e-10,2.7452038835908793e-11
N48.1,3,2,1.2392635736106602e-11,1.8301359223939195e-11
N92.0,4,13,1.6523514314808802e-11,1.1895883495560475e-10
Q87.40,0,1,0.0,9.150679611969598e-12
R13.13,9,3,3.7177907208319803e-11,2.7452038835908793e-11
R22.2,1,5,4.1308785787022006e-12,4.5753398059847985e-11
R47.1,2,25,8.261757157404401e-12,2.2876699029923994e-10
R49.0,33,8,1.363189930971726e-10,7.320543689575678e-11
R62.7,4,7,1.6523514314808802e-11,6.405475728378719e-11
R68.89,61,270,2.519835933008342e-10,2.4706834952317913e-09
R93.7,4,2,1.6523514314808802e-11,1.8301359223939195e-11
R94.5,18,22,7.435581441663961e-11,2.0131495146333113e-10
S12.000S,2,2,8.261757157404401e-12,1.8301359223939195e-11
S83.92XS,0,2,0.0,1.8301359223939195e-11
S84.11XS,17,0,7.02249358379374e-11,0.0
S90.821A,1,0,4.1308785787022006e-12,0.0
G57.10,49,12,2.0241305035640782e-10,1.0980815534363517e-10
G72.41,34,18,1.404498716758748e-10,1.6471223301545275e-10
G80.0,3,0,1.2392635736106602e-11,0.0
G80.1,1,0,4.1308785787022006e-12,0.0
G90.3,14,1,5.7832300101830805e-11,9.150679611969598e-12
H57.13,6,3,2.4785271472213203e-11,2.7452038835908793e-11
H81.313,10,1,4.1308785787022e-11,9.150679611969598e-12
I21.4,3,6,1.2392635736106602e-11,5.4904077671817586e-11
I42.9,22,33,9.08793287314484e-11,3.019724271949967e-10
I63.30,2,0,8.261757157404401e-12,0.0
I63.332,5,0,2.0654392893511e-11,0.0
I69.151,4,0,1.6523514314808802e-11,0.0
I83.892,1,0,4.1308785787022006e-12,0.0
J01.81,4,1,1.6523514314808802e-11,9.150679611969598e-12
J41.0,4,2,1.6523514314808802e-11,1.8301359223939195e-11
K29.70,17,7,7.02249358379374e-11,6.405475728378719e-11
L20.81,2,1,8.261757157404401e-12,9.150679611969598e-12
L21.9,6,5,2.4785271472213203e-11,4.5753398059847985e-11
L60.0,6,8,2.4785271472213203e-11,7.320543689575678e-11
L98.8,3,3,1.2392635736106602e-11,2.7452038835908793e-11
M11.262,2,0,8.261757157404401e-12,0.0
M11.269,1,1,4.1308785787022006e-12,9.150679611969598e-12
M13.811,53,49,2.1893656467121662e-10,4.4838330098651025e-10
I42.0,1,7,4.1308785787022006e-12,6.405475728378719e-11
G54.2,38,2,1.5697338599068362e-10,1.8301359223939195e-11
K56.7,7,1,2.8916150050915402e-11,9.150679611969598e-12
M79.639,45,7,1.8588953604159902e-10,6.405475728378719e-11
G82.53,27,21,1.115337216249594e-10,1.9216427185136153e-10
I25.810,6,4,2.4785271472213203e-11,3.660271844787839e-11
K30.,21,3,8.674845015274621e-11,2.7452038835908793e-11
K70.30,9,19,3.7177907208319803e-11,1.7386291262742234e-10
K80.80,6,9,2.4785271472213203e-11,8.235611650772638e-11
L89.324,0,4,0.0,3.660271844787839e-11
L89.620,0,4,0.0,3.660271844787839e-11
S14.109S,20,12,8.2617571574044e-11,1.0980815534363517e-10
G44.319,24,1,9.914108588885281e-11,9.150679611969598e-12
C90.01,21,12,8.674845015274621e-11,1.0980815534363517e-10
S63.311D,1,0,4.1308785787022006e-12,0.0
M50.120,27,32,1.115337216249594e-10,2.928217475830271e-10
Z80.3,6,3,2.4785271472213203e-11,2.7452038835908793e-11
L50.9,9,2,3.7177907208319803e-11,1.8301359223939195e-11
I83.811,1,2,4.1308785787022006e-12,1.8301359223939195e-11
M25.542,657,208,2.7139872262073458e-09,1.903341359289676e-09
I48.19,1,3,4.1308785787022006e-12,2.7452038835908793e-11
S82.65XS,0,1,0.0,9.150679611969598e-12
H10.10,1,0,4.1308785787022006e-12,0.0
S46.291A,25,2,1.03271964467555e-10,1.8301359223939195e-11
M99.73,140,63,5.783230010183081e-10,5.764928155540846e-10
S84.11XA,4,0,1.6523514314808802e-11,0.0
G56.41,1,1,4.1308785787022006e-12,9.150679611969598e-12
M46.96,104,46,4.2961137218502885e-10,4.2093126215060144e-10
S32.030A,7,16,2.8916150050915402e-11,1.4641087379151356e-10
I27.82,0,1,0.0,9.150679611969598e-12
I70.213,16,11,6.609405725923521e-11,1.0065747573166556e-10
U09.9,215,43,8.881388944209731e-10,3.934792233146927e-10
R10.A2,4,3,1.6523514314808802e-11,2.7452038835908793e-11
G56.23,35,17,1.4458075025457702e-10,1.5556155340348316e-10
F40.01,42,28,1.7349690030549242e-10,2.5621902913514875e-10
G92.8,1,0,4.1308785787022006e-12,0.0
M50.223,13,0,5.3701421523128606e-11,0.0
F03.C0,0,1,0.0,9.150679611969598e-12
M40.204,12,1,4.9570542944426407e-11,9.150679611969598e-12
M16.4,26,14,1.0740284304625721e-10,1.2810951456757437e-10
Z04.89,97,10,4.0069522213411345e-10,9.150679611969597e-11
F19.10,203,11,8.385683514765467e-10,1.0065747573166556e-10
S19.9XXS,4,1,1.6523514314808802e-11,9.150679611969598e-12
S22.008A,3,1,1.2392635736106602e-11,9.150679611969598e-12
S57.02XD,0,2,0.0,1.8301359223939195e-11
E89.0,12,9,4.9570542944426407e-11,8.235611650772638e-11
M53.82,40,23,1.65235143148088e-10,2.1046563107530072e-10
M53.9,23,15,9.501020731015061e-11,1.3726019417954397e-10
R31.0,6,13,2.4785271472213203e-11,1.1895883495560475e-10
R32.,163,18,6.733332083284587e-10,1.6471223301545275e-10
R45.851,42,21,1.7349690030549242e-10,1.9216427185136153e-10
R53.0,87,0,3.593864363470914e-10,0.0
S06.0X0D,8,3,3.3047028629617605e-11,2.7452038835908793e-11
S14.2XXS,10,3,4.1308785787022e-11,2.7452038835908793e-11
S32.000D,5,0,2.0654392893511e-11,0.0
S46.011S,36,9,1.4871162883327921e-10,8.235611650772638e-11
M77.40,81,65,3.346011648748782e-10,5.947941747780239e-10
M19.031,23,20,9.501020731015061e-11,1.8301359223939194e-10
S06.2X6A,1,0,4.1308785787022006e-12,0.0
D01.3,3,3,1.2392635736106602e-11,2.7452038835908793e-11
F90.2,34,15,1.404498716758748e-10,1.3726019417954397e-10
T45.1X5S,16,0,6.609405725923521e-11,0.0
T87.89,11,21,4.54396643657242e-11,1.9216427185136153e-10
T87.9,4,0,1.6523514314808802e-11,0.0
S22.089A,3,3,1.2392635736106602e-11,2.7452038835908793e-11
Z41.9,0,19,0.0,1.7386291262742234e-10
Z65.8,30,25,1.23926357361066e-10,2.2876699029923994e-10
Z79.01,20,29,8.2617571574044e-11,2.653697087471183e-10
Z86.718,3,8,1.2392635736106602e-11,7.320543689575678e-11
Z87.11,5,0,2.0654392893511e-11,0.0
D49.9,2,0,8.261757157404401e-12,0.0
F31.11,3,0,1.2392635736106602e-11,0.0
S76.011D,6,1,2.4785271472213203e-11,9.150679611969598e-12
S76.112D,4,0,1.6523514314808802e-11,0.0
G83.20,6,0,2.4785271472213203e-11,0.0
R87.810,3,3,1.2392635736106602e-11,2.7452038835908793e-11
S06.0X0A,21,9,8.674845015274621e-11,8.235611650772638e-11
S06.0X1A,16,8,6.609405725923521e-11,7.320543689575678e-11
S12.112A,1,0,4.1308785787022006e-12,0.0
S13.9XXD,5,0,2.0654392893511e-11,0.0
S14.105S,2,2,8.261757157404401e-12,1.8301359223939195e-11
A60.09,1,0,4.1308785787022006e-12,0.0
D59.9,3,0,1.2392635736106602e-11,0.0
F10.239,140,15,5.783230010183081e-10,1.3726019417954397e-10
F14.24,6,3,2.4785271472213203e-11,2.7452038835908793e-11
F29.,41,14,1.693660217267902e-10,1.2810951456757437e-10
S82.142S,1,0,4.1308785787022006e-12,0.0
S86.111A,2,2,8.261757157404401e-12,1.8301359223939195e-11
S93.402A,5,8,2.0654392893511e-11,7.320543689575678e-11
S93.491A,8,2,3.3047028629617605e-11,1.8301359223939195e-11
V49.40XA,1,0,4.1308785787022006e-12,0.0
S14.3XXD,39,8,1.6110426456938582e-10,7.320543689575678e-11
S16.9XXD,1,3,4.1308785787022006e-12,2.7452038835908793e-11
S32.2XXS,21,4,8.674845015274621e-11,3.660271844787839e-11
S40.912A,0,1,0.0,9.150679611969598e-12
S43.086S,0,1,0.0,9.150679611969598e-12
S46.019S,2,1,8.261757157404401e-12,9.150679611969598e-12
S46.091S,23,7,9.501020731015061e-11,6.405475728378719e-11
S72.92XD,1,0,4.1308785787022006e-12,0.0
X31.XXXS,0,1,0.0,9.150679611969598e-12
Z18.10,4,0,1.6523514314808802e-11,0.0
Z89.621,1,0,4.1308785787022006e-12,0.0
G13.0,53,5,2.1893656467121662e-10,4.5753398059847985e-11
S25.192A,1,0,4.1308785787022006e-12,0.0
S32.020S,11,4,4.54396643657242e-11,3.660271844787839e-11
S33.9XXS,2,1,8.261757157404401e-12,9.150679611969598e-12
S34.139S,1,0,4.1308785787022006e-12,0.0
S46.011A,35,8,1.4458075025457702e-10,7.320543689575678e-11
S54.02XA,6,1,2.4785271472213203e-11,9.150679611969598e-12
S72.8X2S,1,1,4.1308785787022006e-12,9.150679611969598e-12
S73.111S,1,0,4.1308785787022006e-12,0.0
S76.112A,4,0,1.6523514314808802e-11,0.0
K11.7,96,1,3.9656434355541125e-10,9.150679611969598e-12
K51.20,1,0,4.1308785787022006e-12,0.0
L97.511,0,1,0.0,9.150679611969598e-12
M05.79,16,55,6.609405725923521e-11,5.032873786583279e-10
M06.09,27,21,1.115337216249594e-10,1.9216427185136153e-10
M35.1,2,1,8.261757157404401e-12,9.150679611969598e-12
M75.21,63,32,2.6024535045823864e-10,2.928217475830271e-10
M41.35,7,3,2.8916150050915402e-11,2.7452038835908793e-11
M40.295,2,18,8.261757157404401e-12,1.6471223301545275e-10
F06.32,16,8,6.609405725923521e-11,7.320543689575678e-11
F10.24,73,25,3.015541362452606e-10,2.2876699029923994e-10
F10.99,50,9,2.0654392893511e-10,8.235611650772638e-11
M65.9,7,3,2.8916150050915402e-11,2.7452038835908793e-11
M76.32,91,7,3.7590995066190024e-10,6.405475728378719e-11
M19.132,4,10,1.6523514314808802e-11,9.150679611969597e-11
M20.42,3,8,1.2392635736106602e-11,7.320543689575678e-11
M25.662,9,5,3.7177907208319803e-11,4.5753398059847985e-11
M46.90,22,10,9.08793287314484e-11,9.150679611969597e-11
M48.24,3,0,1.2392635736106602e-11,0.0
M75.120,25,6,1.03271964467555e-10,5.4904077671817586e-11
M84.50XA,1,0,4.1308785787022006e-12,0.0
M86.611,1,1,4.1308785787022006e-12,9.150679611969598e-12
M89.30,1,0,4.1308785787022006e-12,0.0
M94.9,1,0,4.1308785787022006e-12,0.0
S91.102D,0,8,0.0,7.320543689575678e-11
G31.83,15,9,6.1963178680533e-11,8.235611650772638e-11
G44.019,33,24,1.363189930971726e-10,2.1961631068727034e-10
G97.82,2,1,8.261757157404401e-12,9.150679611969598e-12
H65.23,3,0,1.2392635736106602e-11,0.0
M21.751,15,1,6.1963178680533e-11,9.150679611969598e-12
M21.752,3,0,1.2392635736106602e-11,0.0
L84.,9,9,3.7177907208319803e-11,8.235611650772638e-11
M13.872,9,15,3.7177907208319803e-11,1.3726019417954397e-10
M19.272,2,19,8.261757157404401e-12,1.7386291262742234e-10
M20.5X9,0,4,0.0,3.660271844787839e-11
E56.9,15,14,6.1963178680533e-11,1.2810951456757437e-10
E61.1,5,10,2.0654392893511e-11,9.150679611969597e-11
E66.8,88,37,3.635173149257936e-10,3.3857514564287507e-10
F40.10,20,6,8.2617571574044e-11,5.4904077671817586e-11
B35.3,13,14,5.3701421523128606e-11,1.2810951456757437e-10
M50.020,34,14,1.404498716758748e-10,1.2810951456757437e-10
K02.53,2,2,8.261757157404401e-12,1.8301359223939195e-11
D64.89,5,1,2.0654392893511e-11,9.150679611969598e-12
S06.0X0S,34,16,1.404498716758748e-10,1.4641087379151356e-10
C32.9,4,5,1.6523514314808802e-11,4.5753398059847985e-11
N50.82,105,36,4.3374225076373104e-10,3.294244660309055e-10
M47.14,16,4,6.609405725923521e-11,3.660271844787839e-11
M95.3,0,10,0.0,9.150679611969597e-11
H61.23,12,24,4.9570542944426407e-11,2.1961631068727034e-10
C01.,4,5,1.6523514314808802e-11,4.5753398059847985e-11
F17.213,34,10,1.404498716758748e-10,9.150679611969597e-11
Z95.1,21,2,8.674845015274621e-11,1.8301359223939195e-11
Q07.00,24,5,9.914108588885281e-11,4.5753398059847985e-11
M65.331,36,8,1.4871162883327921e-10,7.320543689575678e-11
F32.A,2240,688,9.25316801629293e-09,6.295667573035083e-09
H93.3X1,0,7,0.0,6.405475728378719e-11
C50.912,12,6,4.9570542944426407e-11,5.4904077671817586e-11
R74.8,3,4,1.2392635736106602e-11,3.660271844787839e-11
Z71.6,89,10,3.6764819350449586e-10,9.150679611969597e-11
G61.1,44,10,1.817586574628968e-10,9.150679611969597e-11
M24.542,18,3,7.435581441663961e-11,2.7452038835908793e-11
M51.379,98,39,4.0482610071281564e-10,3.568765048668143e-10
H92.03,15,19,6.1963178680533e-11,1.7386291262742234e-10
M23.91,13,4,5.3701421523128606e-11,3.660271844787839e-11
M53.86,28,15,1.1566460020366161e-10,1.3726019417954397e-10
M84.359S,0,4,0.0,3.660271844787839e-11
N43.2,2,2,8.261757157404401e-12,1.8301359223939195e-11
Q76.3,8,1,3.3047028629617605e-11,9.150679611969598e-12
A53.0,1,1,4.1308785787022006e-12,9.150679611969598e-12
B97.4,3,0,1.2392635736106602e-11,0.0
C14.8,0,5,0.0,4.5753398059847985e-11
C20.,11,7,4.54396643657242e-11,6.405475728378719e-11
C22.1,1,0,4.1308785787022006e-12,0.0
C44.49,2,1,8.261757157404401e-12,9.150679611969598e-12
C64.9,5,8,2.0654392893511e-11,7.320543689575678e-11
D09.0,18,11,7.435581441663961e-11,1.0065747573166556e-10
F12.19,9,1,3.7177907208319803e-11,9.150679611969598e-12
F12.20,237,31,9.790182231524214e-10,2.836710679710575e-10
F14.10,83,17,3.4286292203228265e-10,1.5556155340348316e-10
F14.21,49,6,2.0241305035640782e-10,5.4904077671817586e-11
F14.90,15,4,6.1963178680533e-11,3.660271844787839e-11
F15.20,540,79,2.2306744324991883e-09,7.229036893455981e-10
F15.24,4,3,1.6523514314808802e-11,2.7452038835908793e-11
F15.99,11,2,4.54396643657242e-11,1.8301359223939195e-11
F17.219,92,8,3.8004082924060243e-10,7.320543689575678e-11
F20.89,11,4,4.54396643657242e-11,3.660271844787839e-11
F31.0,14,1,5.7832300101830805e-11,9.150679611969598e-12
F31.32,52,33,2.1480568609251442e-10,3.019724271949967e-10
F31.60,13,15,5.3701421523128606e-11,1.3726019417954397e-10
F31.61,15,7,6.1963178680533e-11,6.405475728378719e-11
F31.62,10,8,4.1308785787022e-11,7.320543689575678e-11
F31.77,8,1,3.3047028629617605e-11,9.150679611969598e-12
F32.2,28,14,1.1566460020366161e-10,1.2810951456757437e-10
F32.3,12,4,4.9570542944426407e-11,3.660271844787839e-11
F32.5,18,10,7.435581441663961e-11,9.150679611969597e-11
F43.29,7,14,2.8916150050915402e-11,1.2810951456757437e-10
F45.22,0,1,0.0,9.150679611969598e-12
F51.02,29,9,1.1979547878236381e-10,8.235611650772638e-11
F60.5,4,3,1.6523514314808802e-11,2.7452038835908793e-11
I27.0,6,1,2.4785271472213203e-11,9.150679611969598e-12
I34.0,2,2,8.261757157404401e-12,1.8301359223939195e-11
I48.3,8,5,3.3047028629617605e-11,4.5753398059847985e-11
I50.40,2,4,8.261757157404401e-12,3.660271844787839e-11
I63.6,0,1,0.0,9.150679611969598e-12
I67.81,3,1,1.2392635736106602e-11,9.150679611969598e-12
I69.353,11,2,4.54396643657242e-11,1.8301359223939195e-11
I77.9,17,33,7.02249358379374e-11,3.019724271949967e-10
I82.591,1,5,4.1308785787022006e-12,4.5753398059847985e-11
I83.93,3,1,1.2392635736106602e-11,9.150679611969598e-12
I95.9,12,19,4.9570542944426407e-11,1.7386291262742234e-10
J32.1,67,5,2.767688647730474e-10,4.5753398059847985e-11
J44.1,31,13,1.280572359397682e-10,1.1895883495560475e-10
J45.998,131,19,5.411450938099882e-10,1.7386291262742234e-10
J93.83,2,1,8.261757157404401e-12,9.150679611969598e-12
K29.60,7,0,2.8916150050915402e-11,0.0
K31.89,1,0,4.1308785787022006e-12,0.0
K43.9,3,8,1.2392635736106602e-11,7.320543689575678e-11
K50.819,6,1,2.4785271472213203e-11,9.150679611969598e-12
M34.89,4,1,1.6523514314808802e-11,9.150679611969598e-12
M41.26,128,7,5.287524580738817e-10,6.405475728378719e-11
M46.42,16,18,6.609405725923521e-11,1.6471223301545275e-10
M50.23,19,3,7.848669299534181e-11,2.7452038835908793e-11
G43.801,61,50,2.519835933008342e-10,4.575339805984799e-10
H26.8,8,1,3.3047028629617605e-11,9.150679611969598e-12
H26.9,16,8,6.609405725923521e-11,7.320543689575678e-11
H35.413,0,8,0.0,7.320543689575678e-11
H52.4,5,1,2.0654392893511e-11,9.150679611969598e-12
H53.30,7,2,2.8916150050915402e-11,1.8301359223939195e-11
H53.9,8,0,3.3047028629617605e-11,0.0
H81.12,25,4,1.03271964467555e-10,3.660271844787839e-11
H81.13,59,13,2.437218361434298e-10,1.1895883495560475e-10
H81.8X1,3,0,1.2392635736106602e-11,0.0
M1A.9XX1,2,8,8.261757157404401e-12,7.320543689575678e-11
M21.069,1,1,4.1308785787022006e-12,9.150679611969598e-12
M23.92,10,15,4.1308785787022e-11,1.3726019417954397e-10
M24.532,2,0,8.261757157404401e-12,0.0
M24.812,16,13,6.609405725923521e-11,1.1895883495560475e-10
R68.82,55,18,2.2719832182862103e-10,1.6471223301545275e-10
I47.10,3,2,1.2392635736106602e-11,1.8301359223939195e-11
L20.9,16,3,6.609405725923521e-11,2.7452038835908793e-11
M53.0,101,3,4.172187364489222e-10,2.7452038835908793e-11
R43.9,18,1,7.435581441663961e-11,9.150679611969598e-12
S22.080S,34,11,1.404498716758748e-10,1.0065747573166556e-10
N91.5,1,0,4.1308785787022006e-12,0.0
J63.4,2,0,8.261757157404401e-12,0.0
S82.854S,0,1,0.0,9.150679611969598e-12
S83.241A,4,2,1.6523514314808802e-11,1.8301359223939195e-11
G57.01,43,5,1.7762777888419461e-10,4.5753398059847985e-11
J84.170,4,6,1.6523514314808802e-11,5.4904077671817586e-11
G57.03,5,5,2.0654392893511e-11,4.5753398059847985e-11
S33.2XXA,6,0,2.4785271472213203e-11,0.0
I87.303,1,0,4.1308785787022006e-12,0.0
M50.221,20,2,8.2617571574044e-11,1.8301359223939195e-11
M79.12,636,30,2.6272387760545996e-09,2.7452038835908793e-10
R63.5,21,5,8.674845015274621e-11,4.5753398059847985e-11
M99.9,4,4,1.6523514314808802e-11,3.660271844787839e-11
M13.819,36,39,1.4871162883327921e-10,3.568765048668143e-10
M25.549,864,334,3.569079091998701e-09,3.0563269903978453e-09
N63.20,0,1,0.0,9.150679611969598e-12
M46.02,8,3,3.3047028629617605e-11,2.7452038835908793e-11
G61.82,113,35,4.667892793933486e-10,3.202737864189359e-10
C49.9,3,2,1.2392635736106602e-11,1.8301359223939195e-11
I61.0,13,1,5.3701421523128606e-11,9.150679611969598e-12
M26.629,61,64,2.519835933008342e-10,5.856434951660542e-10
M62.59,13,0,5.3701421523128606e-11,0.0
F17.218,121,8,4.998363080229663e-10,7.320543689575678e-11
G95.0,44,15,1.817586574628968e-10,1.3726019417954397e-10
C19.,3,1,1.2392635736106602e-11,9.150679611969598e-12
R07.0,54,23,2.230674432499188e-10,2.1046563107530072e-10
F60.9,15,4,6.1963178680533e-11,3.660271844787839e-11
F80.81,2,0,8.261757157404401e-12,0.0
F90.8,11,8,4.54396643657242e-11,7.320543689575678e-11
G24.3,87,24,3.593864363470914e-10,2.1961631068727034e-10
Z71.3,106,38,4.3787312934243323e-10,3.477258252548447e-10
I96.,2,0,8.261757157404401e-12,0.0
M80.872D,0,1,0.0,9.150679611969598e-12
Z01.419,19,38,7.848669299534181e-11,3.477258252548447e-10
Z46.0,5,1,2.0654392893511e-11,9.150679611969598e-12
Z48.22,1,1,4.1308785787022006e-12,9.150679611969598e-12
Z85.46,7,2,2.8916150050915402e-11,1.8301359223939195e-11
Z89.9,2,29,8.261757157404401e-12,2.653697087471183e-10
Z90.13,4,2,1.6523514314808802e-11,1.8301359223939195e-11
Z90.89,8,14,3.3047028629617605e-11,1.2810951456757437e-10
Z94.1,2,1,8.261757157404401e-12,9.150679611969598e-12
B00.9,7,8,2.8916150050915402e-11,7.320543689575678e-11
B18.0,0,1,0.0,9.150679611969598e-12
B38.9,0,1,0.0,9.150679611969598e-12
C21.0,1,2,4.1308785787022006e-12,1.8301359223939195e-11
C25.9,8,13,3.3047028629617605e-11,1.1895883495560475e-10
C44.520,2,0,8.261757157404401e-12,0.0
C78.2,3,1,1.2392635736106602e-11,9.150679611969598e-12
C79.31,3,3,1.2392635736106602e-11,2.7452038835908793e-11
C81.90,16,2,6.609405725923521e-11,1.8301359223939195e-11
D01.7,0,1,0.0,9.150679611969598e-12
D14.0,1,0,4.1308785787022006e-12,0.0
